name,price,link,RAM Kapasitesi,Kamera Çözünürlüğü,Dahili Hafıza,Cep Telefonu Modeli,Ön Kamera Çözünürlüğü,İşletim Sistemi,Ekran Cinsi,Batarya Kapasitesi Aralığı,Şarj Hızı
iPhone 16 Pro 128GB,82.949 TL,https://www.trendyol.com/apple/iphone-16-pro-128gb-siyah-titanyum-p-857296083,8 GB,20 MP ve üstü,128 GB,iPhone 16 Pro,12 MP,iOS,OLED,3500-4000 mAh,20-40 W
iPhone 16 Pro Max 512GB,109.999 TL,https://www.trendyol.com/apple/iphone-16-pro-max-512gb-col-titanyum-p-857296093,8 GB,20 MP ve üstü,512 GB,iPhone 16 Pro Max,12 MP,iOS,OLED,4500-5000 mAh,20-40 W
iPhone 11 128 GB Beyaz,26.999 TL,https://www.trendyol.com/apple/iphone-11-128-gb-beyaz-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-64074794,4 GB,12 MP + 12 MP,128 GB,iPhone 11,12 MP,iOS,IPS LCD,3000-3500 mAh,10-20 W
iPhone 12 64 GB Beyaz,28.499 TL,https://www.trendyol.com/apple/iphone-12-64-gb-beyaz-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-54706466,4 GB,10 - 15 MP,64 GB,iPhone 12,8 - 14 MP,iOS,OLED,2000-3000 mAh,10-20 W
iPhone 16 Pro 128GB,81.999 TL,https://www.trendyol.com/apple/iphone-16-pro-128gb-naturel-titanyum-p-857296098,8 GB,20 MP ve üstü,128 GB,iPhone 16 Pro,12 MP,iOS,OLED,3500-4000 mAh,20-40 W
iPhone 13 128 GB Yıldız,34.499 TL,https://www.trendyol.com/apple/iphone-13-128-gb-yildiz-isigi-cep-telefonu-apple-turkiye-garantili-p-150059024,4 GB,12 MP + 12 MP,128 GB,iPhone 13,12 MP,iOS,OLED,3000-3500 mAh,10-20 W
iPhone 16 Pro 128GB,81.999 TL,https://www.trendyol.com/apple/iphone-16-pro-128gb-beyaz-titanyum-p-857296096,8 GB,20 MP ve üstü,128 GB,iPhone 16 Pro,12 MP,iOS,OLED,3500-4000 mAh,20-40 W
Galaxy A06 128GB,"6.878,01 TL",https://www.trendyol.com/samsung/galaxy-a06-128gb-siyah-cep-telefonu-samsung-turkiye-garantili-p-857140579,4 GB,50 MP,128 GB,,8 MP,Android,AMOLED,4500-5000 mAh,
iPhone 16 256GB Beyaz,74.749 TL,https://www.trendyol.com/apple/iphone-16-256gb-beyaz-p-857296135,8 GB,20 MP ve üstü,256 GB,iPhone 16,12 MP,iOS,OLED,3500-4000 mAh,20-40 W
Galaxy A06 128GB Mavi,6.999 TL,https://www.trendyol.com/samsung/galaxy-a06-128gb-mavi-cep-telefonu-samsung-turkiye-garantili-p-857140581,4 GB,50 MP,128 GB,,8 MP,Android,AMOLED,4500-5000 mAh,
