name,price,link
iPhone 16 Pro 128GB,82.949 TL,https://www.trendyol.com/apple/iphone-16-pro-128gb-siyah-titanyum-p-857296083
iPhone 16 Pro Max 512GB,109.999 TL,https://www.trendyol.com/apple/iphone-16-pro-max-512gb-col-titanyum-p-857296093
iPhone 11 128 GB Beyaz,26.999 TL,https://www.trendyol.com/apple/iphone-11-128-gb-beyaz-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-64074794
iPhone 12 64 GB Beyaz,28.499 TL,https://www.trendyol.com/apple/iphone-12-64-gb-beyaz-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-54706466
iPhone 16 Pro 128GB,81.999 TL,https://www.trendyol.com/apple/iphone-16-pro-128gb-naturel-titanyum-p-857296098
iPhone 13 128 GB Yıldız,34.499 TL,https://www.trendyol.com/apple/iphone-13-128-gb-yildiz-isigi-cep-telefonu-apple-turkiye-garantili-p-150059024
iPhone 16 Pro 128GB,81.999 TL,https://www.trendyol.com/apple/iphone-16-pro-128gb-beyaz-titanyum-p-857296096
Galaxy A06 128GB,"6.878,01 TL",https://www.trendyol.com/samsung/galaxy-a06-128gb-siyah-cep-telefonu-samsung-turkiye-garantili-p-857140579
iPhone 16 256GB Beyaz,74.749 TL,https://www.trendyol.com/apple/iphone-16-256gb-beyaz-p-857296135
Galaxy A06 128GB Mavi,6.999 TL,https://www.trendyol.com/samsung/galaxy-a06-128gb-mavi-cep-telefonu-samsung-turkiye-garantili-p-857140581
iPhone 16 Pro Max 256GB,99.999 TL,https://www.trendyol.com/apple/iphone-16-pro-max-256gb-naturel-titanyum-p-857296078
Redmi Note 13 8 GB RAM,10.684 TL,https://www.trendyol.com/xiaomi/redmi-note-13-8-gb-ram-256-gb-siyah-xiaomi-turkiye-garantili-p-808570790
iPhone 12 64 GB Mor Cep,27.499 TL,https://www.trendyol.com/apple/iphone-12-64-gb-mor-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-102272722
iPhone 13 128 GB Siyah,34.099 TL,https://www.trendyol.com/apple/iphone-13-128-gb-siyah-cep-telefonu-apple-turkiye-garantili-p-150058735
iPhone 16 Pro Max 256GB,99.999 TL,https://www.trendyol.com/apple/iphone-16-pro-max-256gb-beyaz-titanyum-p-857296102
Redmi 13 8 GB RAM 256,8.899 TL,https://www.trendyol.com/xiaomi/redmi-13-8-gb-ram-256-gb-siyah-cep-telefonu-xiaomi-turkiye-garantili-p-836127382
iPhone 16 Pro 256GB,89.949 TL,https://www.trendyol.com/apple/iphone-16-pro-256gb-siyah-titanyum-p-857296104
C65 8 GB RAM 256 GB,7.317 TL,https://www.trendyol.com/poco/c65-8-gb-ram-256-gb-siyah-xiaomi-turkiye-garantili-p-809388083
iPhone 16 Pro 128GB Çöl,82.999 TL,https://www.trendyol.com/apple/iphone-16-pro-128gb-col-titanyum-p-857296094
Smart Translator,2.994 TL,https://www.trendyol.com/italky/smart-translator-elektronik-ceviri-136-dilde-ceviri-turkce-menu-p-860692688
iPhone 16 128GB Siyah,61.399 TL,https://www.trendyol.com/apple/iphone-16-128gb-siyah-p-857296095
Phone (1) 256 GB 8 GB,15.400 TL,https://www.trendyol.com/nothing/phone-1-256-gb-8-gb-ram-siyah-cep-telefonu-nothing-turkiye-garantili-p-706411030
iPhone 16 Pro 256GB Çöl,87.999 TL,https://www.trendyol.com/apple/iphone-16-pro-256gb-col-titanyum-p-857296087
S23 Pro Max 256 GB,4.799 TL,https://www.trendyol.com/reeder/s23-pro-max-256-gb-siyah-cep-telefonu-reeder-turkiye-garantili-p-771120433
Yenilenmiş iPhone 11 64,15.130 TL,https://www.trendyol.com/apple/yenilenmis-iphone-11-64-gb-beyaz-a-grade-p-752408147
iPhone 16 Pro 128GB,82.949 TL,https://www.trendyol.com/apple/iphone-16-pro-128gb-siyah-titanyum-p-857296083
14T Pro 512 GB Gri,"39.909,05 TL",https://www.trendyol.com/xiaomi/14t-pro-512-gb-gri-xiaomi-turkiye-garantili-p-859623139
iPhone 16 Pro Max 512GB,109.999 TL,https://www.trendyol.com/apple/iphone-16-pro-max-512gb-col-titanyum-p-857296093
S19 Max 4GB+128 GB,3.399 TL,https://www.trendyol.com/reeder/s19-max-4gb-128-gb-beyaz-cep-telefonu-reeder-turkiye-garantili-p-319962487
